name,owners,types,opening_hours_tuesday,rating,disqualification_reason,phone_number,email,is_qualifed,latitude,longitude,place_id
Hoang Asia,,['restaurant'],,,,,,true,52.50582,13.51625,5aff48bc-9c02-445c-aab5-eaa2ac719600
Bistro Arena,,['restaurant'],Open 24 hours,3 (rated 1 times),,,,true,52.50775,13.51293,750d7361-4afe-4961-ba3e-dfa87b85791e
Solar Bar,DSF Bavaria Solar,"['co.', 'bar', 'kg']",2:00 – 10:00 PM,3.9 (rated 24 times),,,,true,52.50841,13.51206,1f9bb260-2106-4316-978a-c136c34835fd
Opa Bistro,,['bar'],Open 24 hours,3 (rated 9 times),,,,true,52.50920,13.50452,965b54e7-d0cd-41e8-889d-7acafd1d8a11
KLINIKUM HERTZBERGR,Michael Mielke,['restaurant'],Open 24 hours,,,03054720,keh@keh-berlin.de,true,52.52715,13.51002,59aeb8d2-9a89-4cb9-9197-d99edbd124ef
star Tankstelle,Waldemar Bogusch,"['gas_station', 'grocery_or_supermarket', 'store', 'car_wash', 'supermarket', 'restaurant']",Open 24 hours,4 (rated 125 times),chain,0305437321,info@orlen-deutschland.de,false,52.52270,13.51910,c73b28da-6a2c-4eee-ac6c-e361cdaa0792
U-Bahn-Quelle,,"['restaurant', 'bar']",,4.1 (rated 36 times),,,,true,52.50713,13.51209,6cc9c678-3a88-476c-a8d5-2f7eb8c75269
Bakery & Pastry Shop Grubert,,"['bakery', 'store']",6:00 AM – 5:00 PM,3.8 (rated 12 times),,,,true,52.51011,13.51750,a907ff06-cf53-46ed-9ef9-cc1e90906b5f
Cafe Melanie,,['cafe'],,4 (rated 4 times),,0305100379,,true,52.50689,13.51238,526c75ae-79e1-4030-b3bd-50d314911feb
Bollywood - Indisches Restaurant und Lieferservice,,['restaurant'],11:30 AM – 12:00 AM,2.1 (rated 17 times),,03051060515,amr.mekkawy@gmail.com,true,52.51064,13.53473,de31aa25-2d9a-4573-8e17-686ee44687e8
Märkische Aue,,['restaurant'],12:00 PM – 12:00 AM,3.3 (rated 105 times),,0305103460,,true,52.50081,13.51423,86621144-64df-479e-a054-1f30a4a6b5a5
Bamboo Bistro,,['restaurant'],11:00 AM – 9:00 PM,4.4 (rated 68 times),,03070096113,,true,52.51378,13.51794,e138ce2f-d416-4296-a650-89c07248a2ba
Mac’s Bistro / Döner,,['restaurant'],Open 24 hours,3.4 (rated 42 times),unsupported_place_type,,,false,52.51341,13.52157,2e383a7a-7c5b-421c-a7f1-4d087a66ff33
"""Zum Absacker"" Zum Absacker Sportsbar Billard Dart",,['bar'],,4.5 (rated 2 times),,,,true,52.50956,13.50436,c100893e-e07c-4ee1-b6a3-d74dc64dd354
Ristorante Fratelli Tre,Sami Gashi & Ardian Musi,"['restaurant', '']",11:00 AM – 12:00 AM,4.4 (rated 144 times),,03040756719,,true,52.51032,13.51822,d5b4831b-fe0c-4af0-b05a-cc48f07b9f8f
Gasthaus Bielefeldt,,"['restaurant', 'lodging']",Closed,4.3 (rated 137 times),unsupported_place_type,03057794822,info@gasthaus-bielefeldt-berlin.de,false,52.51751,13.51675,943c9d0f-8a67-48f2-b54c-ccaa0017afda
Banana Bar,,['bar'],12:00 PM – 5:00 AM,2.9 (rated 24 times),,03000000000,,true,52.51009,13.51171,aa185ffa-06c9-4c20-b0bb-80bb178a5b16
Jägerheim UG (haftungsbeschränkt),,['restaurant'],12:00 PM – 12:00 AM,4.1 (rated 21 times),,,,true,52.51098,13.50572,e1438fa2-39b2-446b-978e-9e1bc5a16242
H und C Coffee Bar,,['bar'],9:00 AM – 6:00 PM,3.7 (rated 3 times),,,,true,52.50109,13.50147,28b33353-975c-4c10-ad07-13256cd0de83
Fratelli da Giovanni Tre,,['restaurant'],11:00 AM – 12:00 AM,4 (rated 48 times),,03040756719,,true,52.51012,13.51796,1899e544-c795-4879-a4f4-dbccd1d403e3
Richter's Feinbäckerei,,"['bakery', 'store']",6:00 AM – 6:30 PM,3.7 (rated 9 times),,03051065247,,true,52.50709,13.51227,7dc82f10-8d20-42f7-ae0f-7d46909ae15f
Richter's Feinbäckerei,,"['bakery', 'store']",7:00 AM – 6:30 PM,4.1 (rated 33 times),,0305291404,,true,52.50920,13.50452,f83e7012-53d2-4c9d-8cca-2beb76c7ecb4
Zaka's Kneipchen,Rene´ Zander,['bar'],3:00 PM – 12:00 AM,2 (rated 2 times),,03052697695,zackas.kneipchen@telecolumbus.net,true,52.50113,13.49813,126477ff-258a-406e-8f99-303ef16ac112
Bistro Legende,,['restaurant'],9:00 AM – 10:00 PM,3.4 (rated 72 times),,,,true,52.50544,13.51478,2649014f-d81f-41f2-b23f-3811e5cc66ad
Viet Family,Ta Van Dung,['restaurant'],11:30 AM – 10:00 PM,4 (rated 111 times),,03027016331,info@viet-family.de,true,52.50580,13.51626,ee3c145c-49d7-4a80-998c-ecc82b804fac
Bäckerei Schnell,,"['bakery', 'store']",4:30 AM – 7:00 PM,4.1 (rated 50 times),chain,03051062384,,false,52.51383,13.51963,fcd67034-a306-49e7-8cce-6ea7bdce632a
Sylvias Tagesbar,,['bar'],,4 (rated 44 times),,,,true,52.50575,13.51492,befd0403-9a9f-4f92-a452-e8321b3c3e34
Zeeshan 6,,['restaurant'],10:00 AM – 12:00 AM,2.4 (rated 5 times),,,,true,52.51063,13.53480,ddf53eda-d51b-4ec2-9e16-af3bdad6dc7c
Luther's Wittenberg Germany,,['restaurant'],,,,,,true,52.52785,13.51622,b1dbc1da-d0b0-41b2-bf55-dbc322bae78b
Friedrichsfelde,,['restaurant'],,4.6 (rated 44 times),,0305251202,,true,52.51008,13.51794,116dbe1e-57b1-4a60-bcce-c7c103bf13f7
Susi & Mo,,['restaurant'],,5 (rated 1 times),,,,true,52.50519,13.50787,3df01ba2-4e9a-40d3-9ede-e3132c4eb360
Markus Müller,Markus Müller,"['', 'konditorei', 'bakery', 'bäckerei', '/', 'store', 'cafe']",5:30 AM – 6:00 PM,4.4 (rated 78 times),,0305139710,,true,52.50566,13.51392,0c5a233e-8927-4f49-bff9-15acaf0bbf79
CLUB & COCKTAILBAR,,['bar'],,5 (rated 1 times),,,,true,52.51356,13.52213,4a9bd837-5489-4e94-9d41-4de79194ee76
ASIAN BISTRO,,['restaurant'],10:00 AM – 10:00 PM,3.8 (rated 8 times),,03051588592,,true,52.50520,13.51457,956243c3-34a4-4690-a4e0-962928102dcf
"Stadtfarm.de - Smart Urban Farming - frischer Fisch, StadtFarmSalate, Kräuter & Gemüse",,['restaurant'],10:00 AM – 4:00 PM,5 (rated 15 times),,030609881070,info@stadtfarm.de,true,52.51956,13.51022,38f04537-26cf-4416-baf6-c7611ab1c280
Rajvinder Kaur,,['meal_delivery'],,,,03051060515,,true,52.51244,13.53453,0ab8cdae-9f77-4a72-9be5-83bda9a0213e
Avci Bistro,,['restaurant'],,2.5 (rated 6 times),,,,true,52.51057,13.49890,a8c1a559-0b29-4b00-b6df-c63561fc4a58
Bistro Arena,,['restaurant'],Open 24 hours,4.5 (rated 43 times),duplicate,,,false,52.50775,13.51293,bf6ade59-4768-438e-9fb0-93fb17049063
Coctailbar,,['bar'],,,,03074685373,,true,52.51098,13.50572,5754524b-6bab-4aa2-8d86-2032184a6320
Miami Cocktailbar,,['bar'],12:00 PM – 2:00 AM,3.3 (rated 83 times),,03064162668,,true,52.51346,13.52216,6d36e5a8-b901-4d96-9d29-afab79d92c24
Hennings Backstube,,['cafe'],,5 (rated 1 times),,,,true,52.53142,13.51401,d50ad1b3-779c-45c9-b4ca-510c3601702b
Pizza Planet,,['meal_delivery'],11:00 AM – 10:30 PM,2.7 (rated 35 times),,03051736006,,true,52.50560,13.50933,b84767af-74eb-4cc4-8a5d-2ba8e1599eda
Na Hoi Bar,,['bar'],,,,,,true,52.51098,13.50572,1a94e035-da13-4e3f-b539-187b9448cf71
Café TURO,,['restaurant'],11:00 AM – 3:00 AM,3.5 (rated 19 times),,03023583983,,true,52.51018,13.51801,fa53d110-1e0c-415f-8e01-a8c787c7a013
Happy Döner,,['restaurant'],Open 24 hours,3.9 (rated 32 times),unsupported_place_type,01774559390,,false,52.50574,13.52008,c75103bb-84dd-4a76-8bb5-84f581527c8c
Hanoi Cocktail Bar & Hostel,,['bar'],,,,,,true,52.51098,13.50572,38227420-5c61-4f6a-a682-ec6dee8dd5df
Kiez Bäckerei,Anne Albrecht,"['bakery', 'store']",5:00 AM – 7:00 PM,4.4 (rated 115 times),,03051641893,,true,52.50658,13.50328,160180a2-2551-4281-b566-42462cb10692
Alibi,,['bar'],4:00 PM – 1:00 AM,4.4 (rated 22 times),,,,true,52.50623,13.50268,d2e9f6e7-d0b4-485c-aa7e-ae1a022d25f7
Coctail-Bar,,['bar'],,,,,,true,52.50996,13.52452,5835abca-8ecc-402c-95fc-bfbd48b82b7e
Schäfer’s,Karsten Nerlich & Volker Niehaus,"['bakery', 'store']",6:30 AM – 8:00 PM,3.6 (rated 7 times),chain,08007242856,,false,52.50762,13.51317,8c354aeb-687e-4465-971f-91a9c638eba6
Bridge club Berlin e.V.,,"['bar', 'store']",11:00 AM – 7:00 PM,2 (rated 4 times),unsupported_legal_entity_type,03022394988,,false,52.50140,13.47597,f138dca9-c6dc-4f5c-8a87-e355ab22adca
ZackZack,,['restaurant'],11:00 AM – 11:00 PM,3 (rated 2 times),,0305252541,,true,52.50831,13.49697,be2327ca-8879-42ce-9bf8-628c6579111d
burgerme,Melis Koc Burgerladen,"['restaurant', 'meal_delivery']",11:00 AM – 11:00 PM,3.3 (rated 91 times),chain,030467247467,info@burgerme.de,false,52.50287,13.47515,131ab039-eafe-45a8-9327-be21bb61b0db
Coctailbar und Spielhalle (Darts und Airhockey),,['bar'],,,,,,true,52.50097,13.49296,80fec6d2-fad2-418b-bcd4-920576fcafaf
ASIA PHUNG,,['restaurant'],8:00 AM – 8:00 PM,3.9 (rated 14 times),,,,true,52.50421,13.47276,ddb790cc-08c1-474c-9785-e64cdfd14786
Avci Cafe Bar,,['bar'],Open 24 hours,3.2 (rated 14 times),,,,true,52.50975,13.49838,f3ed0aaf-0960-420d-8e74-63af571e83df
Domino's Pizza Berlin Friedrichsfelde,Derk Thijs & Andrew Rennie & Richard De Gruijter,"['restaurant', 'meal_delivery']",11:00 AM – 11:00 PM,2.6 (rated 78 times),chain,03068077222,info@dominos.de,false,52.50476,13.49556,867609d7-5853-43e7-888e-69e552511978
Bäckerei Konditorei,,"['bakery', 'store']",6:00 AM – 11:00 PM,5 (rated 2 times),,,,true,52.50286,13.49163,74b5c123-8dbd-4a95-aaf8-aa8117a4b209
Fantasy & Cocktail Bar,,['bar'],8:00 PM – 4:00 AM,3.3 (rated 13 times),,01744869673,Web@fanatsybar.de,true,52.51069,13.50241,23a24f2c-1a82-44ee-adba-a6d07c48ec5d
Planet Flow,Henk Hummitzsch & Planet Flow,"['cafe', 'art_gallery']",9:00 AM – 6:00 PM,5 (rated 5 times),,01792940944,space@gowiththeflow.berlin,true,52.48356,13.50143,be0ce3e2-0b14-4e3e-a69a-cab311216945
BASIS,,['bar'],Closed,5 (rated 6 times),,,,true,52.50457,13.47216,b17aa402-adfe-4ace-abb0-8e40867ec2d4
Dong Da Restaurant,Ngoc Bao Le & Dong Da Restaurant,['restaurant'],12:00 – 10:00 PM,4.8 (rated 46 times),,03022328339,info@dongda-restaurant.de,true,52.50442,13.47668,906360cc-1840-4461-ad10-a85c6417bc82
Zum Schwalbenschwanz,Tobias Hauptvogel,['bar'],6:00 PM – 1:00 AM,4.5 (rated 151 times),,,programm@zumschwalbenschwanz.de,true,52.50765,13.49910,a5665fd2-e0e6-4ff5-95f8-d3a91e182637
Cafe Bistro Lion's,,"['bakery', 'store']",,,,0305109790,,true,52.50199,13.48696,8f7e4b68-1e75-4c59-b37c-e0d202bf2e66
Eiscafé Videothek und Wohlfühloase Madeleine und der Seemann,Anne Petersdorff,"['restaurant', 'cafe', 'movie_rental', 'store']",10:00 AM – 8:00 PM,4.6 (rated 14 times),,03048812701,info@madeleine-und-der-seemann.de,true,52.50433,13.47975,18a9127d-364a-402f-9bc3-1f54c6b585fd
New Asia,,['restaurant'],11:00 AM – 10:00 PM,5 (rated 2 times),,,,true,52.50134,13.49334,a262b595-6362-4599-9e30-662b483deca2
Grill Haus Dudi,,['restaurant'],10:00 AM – 11:00 PM,5 (rated 1 times),,,,true,52.50906,13.50278,8cf3617f-e4f7-4361-b1d3-71d613a635dc
Avci Bistro 2,,['restaurant'],,4.5 (rated 2 times),,,,true,52.50940,13.49728,8b96070b-2b1e-4d62-adbf-c0d97c5ef564
GVL Gastronomische Versorgungsleistung GmbH,,['restaurant'],,1 (rated 1 times),,0305538502,,true,52.50539,13.47209,030c532b-cdf1-4a9e-ac15-2a89e92ce19a
Can Imbiss - Dönerladen,,['restaurant'],8:00 AM – 1:00 AM,5 (rated 1 times),unsupported_place_type,,,false,52.50919,13.50028,cddcf153-7974-4262-abb4-58572dfcf5e0
McDonald's,,['restaurant'],9:00 AM – 12:00 AM,2.1 (rated 68 times),chain,03051061114,,false,52.50925,13.49730,c4d95d60-ef78-4958-9bb7-2ae98b5bb05f
Snack Station,,['restaurant'],,2.5 (rated 2 times),,,,true,52.50941,13.49716,1da11096-076e-469d-9762-f953e3dde80f
Cäsar´s Lieferservice,,['meal_delivery'],11:00 AM – 10:45 PM,2.3 (rated 33 times),,03051657545,,true,52.51115,13.50295,a7d1c521-0cac-4a9c-b6fb-24e57cc84a7f
Cocktail Internet Bar,,['bar'],Open 24 hours,3.5 (rated 4 times),,,,true,52.50959,13.49914,39fdece5-77c6-4cb1-acb8-5d2380fdb870
Zhou's Five GmbH,Xiaojing Zhu,['restaurant'],12:00 – 11:00 PM,4.1 (rated 1108 times),,03067952100,info@zhousfive.de,true,52.50348,13.47322,bf036664-37b7-4d56-90e9-50c9dde17c8d
Cäser's Gaststätten u. Lieferservice f. Speisen u. Getränke GmbH,,['restaurant'],,5 (rated 1 times),,03051657535,,true,52.51114,13.50303,995da988-4453-4b3c-97f9-32451e702bcd
Mishba,,['restaurant'],9:00 AM – 12:00 AM,,chain,,,false,52.49854,13.48475,43ab842b-1ff7-4e9a-a595-ea1ca9a87de6
Cafe MS Pinguin das Schiffscafe der Spree & Hafelschiffahrt - Reederei Grimm & Lindecke GbR,,['cafe'],Closed,,,03028885892,info@spree-havelschiffahrt.de,true,52.49982,13.47582,37e0b2ea-9e0c-4763-9999-b3f014b0a5dc
Wiener Feinbäckerei Heberer GmbH,,"['bakery', 'store']",6:00 AM – 8:00 PM,2.6 (rated 8 times),chain,03051062963,presse@heberer.de,false,52.50974,13.49730,de300697-c552-4659-ab2f-366b292babca
kleines Café,Sabrina Gnewikow,['cafe'],2:00 PM – 12:00 AM,4.2 (rated 41 times),,03067934280,sabrinagnewikow@freenet.de,true,52.50296,13.49444,e2ee1206-0539-456b-a171-d78ca0393641
Avci Bistro,,['restaurant'],Open 24 hours,3.8 (rated 33 times),,015731273886,,true,52.50603,13.49607,2e11092d-7988-45c6-b75e-f16be594524f
Rummels Bucht,,"['&', 'unternehmergesellschaft', 'bar', 'co.', '(haftungsbeschränkt)']",3:00 PM – 12:00 AM,4.6 (rated 489 times),unsupported_legal_entity_type,,bucht@rummels-welt.de,false,52.50077,13.47276,5ee35185-0316-483e-a3b7-1c888e996e31
Eis Kaffee,,"['cafe', 'store']",12:00 – 7:00 PM,4.2 (rated 58 times),,01631941056,,true,52.50799,13.49752,6e3fe59c-3a9a-4f0d-a1a7-5a7cb8e84fda
Maitre vite - Victoria Center,Dennis Pieczarka,"['bakery', 'store']",7:00 AM – 6:45 PM,3.7 (rated 31 times),chain,,bestellung@maitrevite.de,false,52.50397,13.47320,0d033605-7776-47b3-88c3-e9e0c371c9bb
Steinecke,Katrin Steinecke,"['bakery', 'store']",6:30 AM – 8:00 PM,2.9 (rated 10 times),chain,03051061225,,false,52.51013,13.49881,50c04b50-ed32-49e0-b4a7-6077dc1b96f3
Sweet Sushi Berlin,,['restaurant'],3:00 – 10:00 PM,4.2 (rated 16 times),,03039711833,,true,52.51185,13.50203,be4f5ccc-1554-4d2a-90d0-91a2875299d5
"Centies, Gleis 1/2",,['restaurant'],Open 24 hours,3.1 (rated 10 times),,017679000027,,true,52.50940,13.49728,2f2b3d64-b448-46f8-8ddf-10c4954a4cf4
Cafe Bar Endstation,,['bar'],Open 24 hours,4.7 (rated 3 times),,01634598059,,true,52.50685,13.49620,8e3cc6e2-7752-4d61-9fea-34456c2a8e22
Deli am Markt,Daniela Büchel & Hilmar Hübers & Peter Maly & Telerik Schischmanow,['restaurant'],7:00 AM – 11:30 PM,2.5 (rated 4 times),,0305253815,impressum@rewe.de,true,52.50562,13.49605,3d35b98c-e8bc-43cf-af7b-0aea997194fe
Ormado Kaffeehaus,,"['cafe', 'store']",7:00 AM – 7:00 PM,4.5 (rated 131 times),,017685589190,info@ormado.de,true,52.51029,13.50125,92b84c88-530a-4b98-b854-a766760932a3
Madlon's,,['restaurant'],5:30 AM – 2:00 PM,3.3 (rated 9 times),,03055494455,,true,52.50665,13.47556,051b7869-550d-4792-b56d-27d4ba2cc60d
Leopold Caffe,,['bar'],6:00 AM – 5:00 PM,5 (rated 1 times),,,,true,52.50271,13.49078,a9fe820b-9bfc-423e-ac53-ff7479c03756
Coco's Asia & Sushi,Loc Thi Vinh,"['restaurant', 'coco´s']",11:00 AM – 10:00 PM,4.2 (rated 174 times),,03052678171,,true,52.50866,13.49727,e7b7f426-10c5-4d0e-8fd2-426f7c8faace
Ausbildungsrestaurant Am Kuhgraben,,['restaurant'],9:00 AM – 3:00 PM,4.3 (rated 43 times),,0305530463,petra.bernhard@sozdia.de,true,52.50522,13.47768,51959c85-67dc-47e9-9574-76107e65b25a
Smoothiejaner,,['cafe'],1:00 – 9:00 PM,5 (rated 2 times),,,mail@smoothiejaner.de,true,52.50153,13.49082,1c02dab6-364d-4fb1-8b23-282c78a9152a
Café Johann,,['cafe'],1:00 – 6:00 PM,4.6 (rated 13 times),,,,true,52.50520,13.49514,90179913-cbc0-44a9-9e4b-b93bb8b4d5d8
black.round.twelve - record store & distribution,,"['home_goods_store', 'cafe', 'electronics_store', 'store']",2:00 – 8:00 PM,4.8 (rated 43 times),,03088721972,,true,52.50189,13.47699,9043c3a7-8fd4-410b-977f-0a92f59167da
Pizza Max Lichtenberg,Raed Shaqour & Faseehla Kohistani & Maic Oldehues & Ali Chahrour & Kamila Eva Bisch & Sayed Hashmat Shah & Oliver Himmler & Gert Neumann & Hasan Chahrour & Farid Noori & Gurjit Singh & Harbans Lal & Berkan Ficici & Mehdi Tafazoli Mehrjerdi & Hussein Chahrour & Martin Deinert & Duygu Irakin & Holger Salbach & Mustafa Sarigül & Hosam Rostom & Erdal Arik & Diepag Popat & Maseehla Kohistani & Enis Besbes & Fuat Ilter & Sadaf Faqiri & Ahmad Farid Tirzay & André Wollbrück & Mina Jeirani & Kimberly Nebel & M. Chahrour & Balwinder Kaur & Ahmed Kafrawi & Emre Yuksel Shukri,['meal_delivery'],11:00 AM – 10:30 PM,3 (rated 48 times),chain,03052696060,info@pizzamax.de,false,52.50773,13.49729,a207932a-ba1b-4b41-8914-efc85f7eb511
Café im Schilf,,"['restaurant', 'cafe']",3:00 – 6:00 PM,4.2 (rated 15 times),,03055576067,jelaengerjelieber@yahoo.de,true,52.50430,13.48183,df2bd462-d4b0-4c72-a887-e5d5805e5cc0
Gode Wind - Hauptstadtkogge,Oliver Reetz,['restaurant'],Closed,4.6 (rated 116 times),,017621738222,info@godewind-berlin.de,true,52.49194,13.48561,4b69ea69-26d0-4c54-897b-c0134baa3c44
Cafe 1963,,['bar'],,,,,,true,52.50713,13.49628,f53bea1b-92f9-4035-b0f7-4ed7d8798e1a
Jc Bar,Jean Claude Malfoy,['bar'],12:00 PM – 12:00 AM,4.6 (rated 38 times),,01733417491,mailtokontakt@jc-bar.ber,true,52.50299,13.47930,417200ac-f8af-4a47-baee-a5646690727e
Zimt Schnecke,,"['bakery', 'store']",6:00 AM – 6:00 PM,2 (rated 3 times),,,,true,52.50264,13.49109,b09e0b85-429c-4846-bc94-6e7e15454992
Billard Lounge,,['bar'],8:00 AM – 5:00 AM,4.2 (rated 69 times),,03051588422,,true,52.50444,13.49463,ac798ed4-4202-4a11-8935-e1bf5be9e465
AP Gastro Connection GmbH,,"['restaurant', '']",,5 (rated 1 times),,,,true,52.50285,13.48008,91041409-3719-467e-b9a9-f7694d2661d3
J.A.S. Café und Restaurant,Sven Leschke,['restaurant'],5:00 PM – 12:00 AM,4.4 (rated 73 times),,03057794123,info@jas-berlin.de,true,52.50443,13.47933,2bf959f4-9ddf-4a63-b541-6ad41123bf04
Pojah,,['restaurant'],,4 (rated 1 times),,,,true,52.50401,13.48110,7a4789a4-2463-4461-8812-de49ce3ea3fb
Jelänger Jelieber,,"['restaurant', 'cafe', 'bar', 'store']",11:30 AM – 1:00 AM,4.4 (rated 155 times),,03055576067,jelaengerjelieber@yahoo.de,true,52.50385,13.48177,9000b04e-8d50-4f8d-8125-b52bf53115b8
Crazy Bar,,['bar'],,,,,,true,52.50404,13.48630,1ae445bb-451e-499d-9e33-0ac7d2621c41
"Avci Bistro, Weitlingstraße, Berlin",,['restaurant'],Open 24 hours,3.7 (rated 77 times),,,,true,52.50609,13.49623,6e6f459b-981b-4d41-85aa-7cedffaac10b
Imbissstand,,['restaurant'],,,,,,true,52.51077,13.49878,274fdf5f-a177-403b-b7df-06797890df1d
Cafe-Bäckerei Caramel,,"['cafe', 'store', 'bakery']",5:00 AM – 7:00 PM,3.8 (rated 53 times),,03031986698,,true,52.50364,13.48597,40869461-41f8-4b44-915a-c95ed82d4579
Ditsch,,"['bakery', 'store']",5:00 AM – 7:00 PM,3.6 (rated 8 times),chain,03051062904,,false,52.51097,13.49929,9f0bd721-668c-42b8-abdf-7947e58a7367
Avci,Özkan Avci Gaststätte,"['restaurant', '', 'baron']",,,,,,true,52.50376,13.48591,1659c77f-dc4c-4405-8902-96878adff21c
"Pizzeria ""Ledi""",,['restaurant'],3:00 – 11:00 PM,4.3 (rated 218 times),,03063962115,info@pizzeria-ledi.de,true,52.50851,13.49711,ee9668ab-efff-49ab-853e-4babc7b3aaf7
Canapé Bäcker,,['cafe'],7:00 AM – 5:00 PM,4.5 (rated 19 times),,,sven_leschke@yahoo.com,true,52.50467,13.47625,07ef6db1-1997-48c1-b5e8-857995b775f3
Lila Bäcker,Stefan Blaschak,"['bakery', 'store']",6:30 AM – 6:00 PM,3.5 (rated 63 times),chain,03050178541,info@unserheimatbaecker.de,false,52.49957,13.47873,862d41a2-5828-401d-b676-dda62e97d515
Leopold Bistro,,['restaurant'],,2.5 (rated 2 times),,,,true,52.50367,13.48609,c601c996-2385-49a9-bbfe-df4e214672a5
India Spice,Nils E,['restaurant'],12:00 – 11:00 PM,4 (rated 78 times),,03092354153,,true,52.50396,13.48116,65db6967-185d-45b3-b1eb-9b0b1eaef454
Krauts Berlin Burger & Café,,"['restaurant', 'cafe', 'store']",12:00 – 10:00 PM,4.2 (rated 224 times),,03031164693,,true,52.50731,13.49687,879f89fb-bb87-4f59-976e-e6b5ce05066a
Pizzeria Ciao Italia,,['restaurant'],11:00 AM – 10:45 PM,2.3 (rated 3 times),,,,true,52.51116,13.50295,1a313979-774c-4d43-97a3-1ff772aef309
Final Bistro,,['restaurant'],9:00 AM – 1:00 AM,3.6 (rated 56 times),,,,true,52.50503,13.47669,88a7b5a6-98eb-4d69-8d9e-b35e942cfc76
Hafen & Hof Service UG,Hof Service,"['restaurant', '(haftungsbeschränkt)']",10:00 AM – 5:00 PM,,,03042219926,restaurantleitung@hafenkueche.de,true,52.49154,13.48936,0ec4221d-5ae8-4474-bc3c-9aada3b6cfdc
Sturgis,,['bar'],4:00 – 9:30 PM,4.7 (rated 52 times),,,,true,52.50753,13.49954,e76adb7e-5590-4147-937d-1965de201f2f
Kaffeehaus Flow,Henk Hummitzsch & Planet Flow,"['cafe', 'art_gallery']",11:00 AM – 6:00 PM,4 (rated 1 times),,,space@gowiththeflow.berlin,true,52.48353,13.50136,5db009aa-48b0-402f-99d2-305931c7164f
Heinzelmännchen,,['bar'],4:00 PM – 12:00 AM,5 (rated 2 times),,,,true,52.50299,13.48919,bd7f1ff3-8f98-4cd6-ad3a-88cc2a8e15c4
Crêpes à manger,,['restaurant'],Closed,4.4 (rated 60 times),,0302834519,template.placeholder@gmail.com,true,52.49674,13.48186,26134b1f-cf8c-49f3-a5d9-4ee0a29ea1fc
Pool Inn,,['bar'],5:00 PM – 2:00 AM,4.6 (rated 66 times),,03051588422,,true,52.50474,13.49642,b71ff224-e355-488b-bdd7-a0869cc31987
Zum Alten Rathaus,Z.a.R. UG & Geschäftsführer Olaf Memczewsky,['bar'],5:00 PM – 12:00 AM,4.3 (rated 26 times),,03021454668,post@zumaltenrathaus.berlin,true,52.50329,13.48065,021df2f4-5639-495f-bc9c-de2d810363aa
